iter	MultiClass
0	1.040306048
1	0.9822415305
2	0.9329194369
3	0.8875190901
4	0.8476506576
5	0.8131341352
6	0.779879305
7	0.7515290461
8	0.7270916851
9	0.7035979387
10	0.6795719858
11	0.6592001246
12	0.6383193221
13	0.6190881413
14	0.600467814
15	0.5854784876
16	0.5718161399
17	0.5557626801
18	0.5423615404
19	0.5282202977
20	0.5166118779
21	0.5033663591
22	0.493891333
23	0.4837541913
24	0.4744679538
25	0.4640482628
26	0.455060817
27	0.4431237905
28	0.43288811
29	0.4251570488
30	0.4163356399
31	0.4047172206
32	0.3957595122
33	0.3880910513
34	0.380813371
35	0.3740726619
36	0.3668467866
37	0.3610670631
38	0.3536902727
39	0.3473606224
40	0.3415299665
41	0.3355259826
42	0.330885809
43	0.3263403658
44	0.3185081494
45	0.3136335973
46	0.308200524
47	0.3037210156
48	0.2986988026
49	0.2946175462
50	0.2905743352
51	0.2860345251
52	0.2817663653
53	0.2774573711
54	0.2742877453
55	0.2703139728
56	0.2657259963
57	0.2623057848
58	0.2592481154
59	0.2551717356
60	0.2526976644
61	0.2470936929
62	0.2441480619
63	0.2394530865
64	0.2369014459
65	0.2350067065
66	0.2321728705
67	0.2288474894
68	0.2265924176
69	0.2226550482
70	0.2194242873
71	0.2167445594
72	0.2134075473
73	0.2100907569
74	0.2059250919
75	0.2042343961
76	0.2017794575
77	0.1985987123
78	0.1953601836
79	0.1924028806
80	0.1899823851
81	0.1876869859
82	0.1866269636
83	0.1840284587
84	0.1829216375
85	0.1810036945
86	0.1797453258
87	0.1769356598
88	0.1746075621
89	0.1720925314
90	0.1699793042
91	0.167542831
92	0.1664806155
93	0.1650262524
94	0.1622834253
95	0.15989526
96	0.1561859941
97	0.1539876573
98	0.1526494128
99	0.1509545796
100	0.1490169005
101	0.148222675
102	0.1466922101
103	0.1454557954
104	0.1436659402
105	0.1418249501
106	0.1405989871
107	0.1396879989
108	0.1390244327
109	0.1379184151
110	0.1363610784
111	0.1352699403
112	0.1321917638
113	0.1296075649
114	0.1287147894
115	0.1277549663
116	0.1264006825
117	0.124692145
118	0.123941698
119	0.1230632581
120	0.1216424324
121	0.1207359968
122	0.1198218902
123	0.1188999139
124	0.1166528355
125	0.1156653421
126	0.1148427152
127	0.1140318331
128	0.1133962929
129	0.1126491003
130	0.1111523102
131	0.110150646
132	0.109518238
133	0.1083745364
134	0.1076687253
135	0.1070611486
136	0.1046685164
137	0.1040045957
138	0.103352088
139	0.102111605
140	0.1008806061
141	0.09985444352
142	0.09935460967
143	0.09846650898
144	0.09739748269
145	0.09677826383
146	0.09609829693
147	0.09488319074
148	0.0942672977
149	0.09359159643
150	0.0930123219
151	0.09119937482
152	0.09020154667
153	0.08955949729
154	0.08856759671
155	0.0878211389
156	0.08745756432
157	0.08686496648
158	0.08636994483
159	0.08603635886
160	0.08534535498
161	0.08478478738
162	0.08427160663
163	0.08371406153
164	0.08320678995
165	0.08229422109
166	0.08189442591
167	0.08103667074
168	0.08063215185
169	0.08039567997
170	0.07999407641
171	0.07898753395
172	0.0781821746
173	0.07770844355
174	0.07744645477
175	0.07701601592
176	0.07656553818
177	0.07577934258
178	0.07514382899
179	0.07463102812
180	0.07391518598
181	0.07359367428
182	0.07285869741
183	0.07252079979
184	0.07231401156
185	0.07196113651
186	0.07052418131
187	0.07021060695
188	0.06939629795
189	0.06889935633
190	0.06857481872
191	0.06819223962
192	0.0679591196
193	0.06728715889
194	0.06696614324
195	0.06666148622
196	0.06633642283
197	0.06569736231
198	0.06540369197
199	0.06507490418
200	0.06432360912
201	0.06363676038
202	0.06344736197
203	0.06323580917
204	0.06247220739
205	0.06220163112
206	0.06153751903
207	0.06128746801
208	0.06081452483
209	0.06058715352
210	0.05942373256
211	0.05909026273
212	0.05898511818
213	0.0587692405
214	0.05850351537
215	0.05739265
216	0.05711318171
217	0.05685172943
218	0.05665063473
219	0.05640273685
220	0.05620149968
221	0.0560411684
222	0.05574770285
223	0.05513503494
224	0.05493462284
225	0.05471640104
226	0.05453756597
227	0.05434858719
228	0.05423692539
229	0.05395836582
230	0.05293825253
231	0.05246863802
232	0.05230578997
233	0.05219967315
234	0.05194202128
235	0.05145470529
236	0.05108055674
237	0.05101913258
238	0.05088119182
239	0.05070539238
240	0.05050430969
241	0.05029865283
242	0.05006950304
243	0.05001925572
244	0.04971900022
245	0.0496129769
246	0.04925955242
247	0.04837109925
248	0.04826259589
249	0.04809668097
